ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-04-02,773.2776687083264,196.84910091470533,567.163553158766,773.2776687083264,773.2776687083264,-382.1310868909673,-382.1310868909673,-382.1310868909673,-338.3001723627179,-338.3001723627179,-338.3001723627179,-43.83091452824946,-43.83091452824946,-43.83091452824946,0.0,0.0,0.0,391.14658181735905
2023-04-03,773.4526734722481,657.332214830127,1070.4619513890982,773.4526734722481,773.4526734722481,87.52708831221157,87.52708831221157,87.52708831221157,137.1621205089173,137.1621205089173,137.1621205089173,-49.6350321967057,-49.6350321967057,-49.6350321967057,0.0,0.0,0.0,860.9797617844597
2023-04-04,773.6276782361697,625.6564284684815,1007.5126254157908,773.6276782361697,773.6276782361697,45.78587453173071,45.78587453173071,45.78587453173071,100.95735954802448,100.95735954802448,100.95735954802448,-55.171485016293765,-55.171485016293765,-55.171485016293765,0.0,0.0,0.0,819.4135527679005
2023-04-05,773.8026830000913,603.2284781186116,983.6164207877521,773.8026830000913,773.8026830000913,18.899795286907835,18.899795286907835,18.899795286907835,79.28833281436908,79.28833281436908,79.28833281436908,-60.388537527461246,-60.388537527461246,-60.388537527461246,0.0,0.0,0.0,792.7024782869992
2023-04-06,773.977687764013,545.8880196158565,938.6029367298573,773.977687764013,773.977687764013,-37.381735596037736,-37.381735596037736,-37.381735596037736,27.862117029533138,27.862117029533138,27.862117029533138,-65.24385262557088,-65.24385262557088,-65.24385262557088,0.0,0.0,0.0,736.5959521679753
2023-04-07,774.1526925279345,530.9899801771173,909.9622236750147,774.1526925279345,774.1526925279345,-54.124219208226414,-54.124219208226414,-54.124219208226414,15.580868309764865,15.580868309764865,15.580868309764865,-69.70508751799127,-69.70508751799127,-69.70508751799127,0.0,0.0,0.0,720.028473319708
2023-04-08,774.3276972918562,475.2126933911729,872.9798774137912,774.3276972918562,774.3276972918562,-96.30084970808569,-96.30084970808569,-96.30084970808569,-22.550625849443314,-22.550625849443314,-22.550625849443314,-73.75022385864236,-73.75022385864236,-73.75022385864236,0.0,0.0,0.0,678.0268475837705
2023-04-09,774.502702055778,172.4699814330498,543.3698641030633,774.502702055778,774.502702055778,-415.6678009053399,-415.6678009053399,-415.6678009053399,-338.3001723626697,-338.3001723626697,-338.3001723626697,-77.36762854267023,-77.36762854267023,-77.36762854267023,0.0,0.0,0.0,358.83490115043804
2023-04-10,774.6777068196996,645.5364952774192,1027.7964141244015,774.6777068196996,774.6777068196996,56.60627167541094,56.60627167541094,56.60627167541094,137.16212050934055,137.16212050934055,137.16212050934055,-80.55584883392963,-80.55584883392963,-80.55584883392963,0.0,0.0,0.0,831.2839784951104
2023-04-11,774.8527115836213,601.6826511208258,961.5658932185449,774.8527115836213,774.8527115836213,17.634207052466685,17.634207052466685,17.634207052466685,100.95735954869373,100.95735954869373,100.95735954869373,-83.32315249622704,-83.32315249622704,-83.32315249622704,0.0,0.0,0.0,792.4869186360879
